# Time	forces(pressure, viscous) moment(pressure, viscous)
1424	(((-50.348 -0.16171 -8.89653e-19) (1.18779 -0.00102361 -1.58583e-23)) ((0.00205372 -0.639419 6.06376e-09) (1.29999e-05 0.015085 7.12256e-07)))
1425	(((-50.3458 -0.161625 -8.89673e-19) (1.18776 -0.00102343 -1.58585e-23)) ((0.00205264 -0.639391 6.02335e-09) (1.29976e-05 0.0150846 6.77065e-07)))
1426	(((-50.3436 -0.161646 -8.89701e-19) (1.18773 -0.00102326 -1.58587e-23)) ((0.0020529 -0.639364 5.98874e-09) (1.29954e-05 0.0150842 6.41758e-07)))
1427	(((-50.3412 -0.161368 -8.89737e-19) (1.1877 -0.00102308 -1.58588e-23)) ((0.00204938 -0.639333 5.94805e-09) (1.29931e-05 0.0150838 6.06143e-07)))
1428	(((-50.3385 -0.161189 -8.89771e-19) (1.18767 -0.0010229 -1.58589e-23)) ((0.0020471 -0.639299 5.90174e-09) (1.29909e-05 0.0150835 5.70331e-07)))
1429	(((-50.3367 -0.160896 -8.89785e-19) (1.18764 -0.00102272 -1.58592e-23)) ((0.00204338 -0.639276 5.84546e-09) (1.29885e-05 0.0150831 5.346e-07)))
1430	(((-50.3347 -0.160733 -8.8981e-19) (1.18761 -0.00102253 -1.58595e-23)) ((0.00204131 -0.639251 5.79312e-09) (1.29862e-05 0.0150827 4.98744e-07)))
1431	(((-50.3323 -0.160793 -8.89847e-19) (1.18759 -0.00102235 -1.58599e-23)) ((0.00204207 -0.63922 5.73955e-09) (1.29838e-05 0.0150823 4.62745e-07)))
1432	(((-50.3297 -0.160831 -8.89886e-19) (1.18756 -0.00102217 -1.58603e-23)) ((0.00204255 -0.639187 5.69283e-09) (1.29815e-05 0.015082 4.26468e-07)))
1433	(((-50.3276 -0.160695 -8.89903e-19) (1.18753 -0.00102199 -1.58607e-23)) ((0.00204083 -0.639161 5.64856e-09) (1.29793e-05 0.0150816 3.9019e-07)))
1434	(((-50.3254 -0.160522 -8.89931e-19) (1.1875 -0.00102181 -1.5861e-23)) ((0.00203863 -0.639133 5.60783e-09) (1.2977e-05 0.0150812 3.53859e-07)))
1435	(((-50.3235 -0.160359 -8.89955e-19) (1.18747 -0.00102164 -1.58613e-23)) ((0.00203655 -0.639108 5.55942e-09) (1.29748e-05 0.0150808 3.17439e-07)))
1436	(((-50.3213 -0.160172 -8.89988e-19) (1.18744 -0.00102145 -1.58617e-23)) ((0.00203418 -0.639081 5.51772e-09) (1.29725e-05 0.0150805 2.81e-07)))
1437	(((-50.3188 -0.16006 -8.90026e-19) (1.18741 -0.00102127 -1.58621e-23)) ((0.00203277 -0.639049 5.46777e-09) (1.29701e-05 0.0150801 2.44358e-07)))
1438	(((-50.3168 -0.159688 -8.90051e-19) (1.18738 -0.00102108 -1.58627e-23)) ((0.00202804 -0.639023 5.41377e-09) (1.29677e-05 0.0150798 2.07552e-07)))
1439	(((-50.3146 -0.159526 -8.90071e-19) (1.18735 -0.00102089 -1.58632e-23)) ((0.00202598 -0.638996 5.36845e-09) (1.29653e-05 0.0150794 1.70528e-07)))
1440	(((-50.3125 -0.159488 -8.90097e-19) (1.18733 -0.0010207 -1.58637e-23)) ((0.0020255 -0.638969 5.321e-09) (1.29629e-05 0.015079 1.33511e-07)))
1441	(((-50.3101 -0.159676 -8.90136e-19) (1.1873 -0.00102052 -1.58642e-23)) ((0.00202788 -0.638939 5.27718e-09) (1.29606e-05 0.0150787 9.65177e-08)))
1442	(((-50.3083 -0.159511 -8.90158e-19) (1.18727 -0.00102034 -1.58648e-23)) ((0.00202579 -0.638916 5.23257e-09) (1.29584e-05 0.0150783 5.95973e-08)))
1443	(((-50.3064 -0.159299 -8.90186e-19) (1.18724 -0.00102016 -1.58653e-23)) ((0.00202309 -0.638891 5.19538e-09) (1.29561e-05 0.015078 2.25236e-08)))
1444	(((-50.3044 -0.158959 -8.90216e-19) (1.18721 -0.00101998 -1.58659e-23)) ((0.00201878 -0.638866 5.14131e-09) (1.29537e-05 0.0150776 -1.47761e-08)))
1445	(((-50.3021 -0.158736 -8.90244e-19) (1.18719 -0.00101978 -1.58665e-23)) ((0.00201594 -0.638836 5.09168e-09) (1.29512e-05 0.0150773 -5.24551e-08)))
1446	(((-50.2997 -0.158585 -8.90279e-19) (1.18716 -0.00101959 -1.58671e-23)) ((0.00201403 -0.638806 5.04967e-09) (1.29488e-05 0.0150769 -9.01136e-08)))
1447	(((-50.2977 -0.158516 -8.90301e-19) (1.18713 -0.0010194 -1.58678e-23)) ((0.00201316 -0.638781 5.00757e-09) (1.29464e-05 0.0150766 -1.27517e-07)))
1448	(((-50.2963 -0.158373 -8.90316e-19) (1.1871 -0.00101921 -1.58684e-23)) ((0.00201133 -0.638763 4.95831e-09) (1.2944e-05 0.0150762 -1.64921e-07)))
1449	(((-50.2946 -0.158108 -8.90342e-19) (1.18708 -0.00101902 -1.58689e-23)) ((0.00200798 -0.638742 4.90351e-09) (1.29416e-05 0.0150759 -2.02768e-07)))
1450	(((-50.2925 -0.157927 -8.9038e-19) (1.18705 -0.00101882 -1.58694e-23)) ((0.00200567 -0.638715 4.85617e-09) (1.2939e-05 0.0150755 -2.41027e-07)))
1451	(((-50.2899 -0.157868 -8.90424e-19) (1.18702 -0.00101862 -1.58699e-23)) ((0.00200493 -0.638681 4.82044e-09) (1.29364e-05 0.0150752 -2.79296e-07)))
1452	(((-50.2881 -0.157649 -8.90438e-19) (1.18699 -0.00101842 -1.58706e-23)) ((0.00200214 -0.638659 4.78423e-09) (1.29339e-05 0.0150748 -3.17268e-07)))
1453	(((-50.2864 -0.157471 -8.9046e-19) (1.18697 -0.00101823 -1.58712e-23)) ((0.00199988 -0.638638 4.74735e-09) (1.29315e-05 0.0150745 -3.55105e-07)))
1454	(((-50.2848 -0.157285 -8.90481e-19) (1.18694 -0.00101804 -1.58716e-23)) ((0.00199752 -0.638617 4.69146e-09) (1.29291e-05 0.0150741 -3.92917e-07)))
1455	(((-50.2827 -0.157161 -8.90516e-19) (1.18691 -0.00101785 -1.5872e-23)) ((0.00199595 -0.63859 4.63504e-09) (1.29267e-05 0.0150738 -4.31226e-07)))
1456	(((-50.2804 -0.157078 -8.90558e-19) (1.18689 -0.00101765 -1.58724e-23)) ((0.00199489 -0.63856 4.59157e-09) (1.29242e-05 0.0150735 -4.69699e-07)))
1457	(((-50.2786 -0.156933 -8.90578e-19) (1.18686 -0.00101745 -1.5873e-23)) ((0.00199304 -0.638538 4.54991e-09) (1.29217e-05 0.0150731 -5.08126e-07)))
1458	(((-50.2772 -0.156543 -8.90596e-19) (1.18684 -0.00101725 -1.58736e-23)) ((0.0019881 -0.638521 4.51546e-09) (1.29191e-05 0.0150728 -5.46518e-07)))
1459	(((-50.2757 -0.156253 -8.90615e-19) (1.18681 -0.00101705 -1.5874e-23)) ((0.00198441 -0.638502 4.46876e-09) (1.29165e-05 0.0150725 -5.85009e-07)))
1460	(((-50.2737 -0.15607 -8.90647e-19) (1.18678 -0.00101684 -1.58742e-23)) ((0.00198209 -0.638477 4.42101e-09) (1.29139e-05 0.0150721 -6.2387e-07)))
1461	(((-50.2714 -0.156052 -8.90687e-19) (1.18676 -0.00101663 -1.58745e-23)) ((0.00198185 -0.638446 4.37476e-09) (1.29112e-05 0.0150718 -6.62909e-07)))
1462	(((-50.2697 -0.155873 -8.9071e-19) (1.18673 -0.00101642 -1.58749e-23)) ((0.00197959 -0.638426 4.33404e-09) (1.29085e-05 0.0150715 -7.01911e-07)))
1463	(((-50.2681 -0.15573 -8.90735e-19) (1.18671 -0.00101621 -1.58752e-23)) ((0.00197778 -0.638405 4.29947e-09) (1.29059e-05 0.0150712 -7.40763e-07)))
1464	(((-50.2666 -0.155505 -8.90757e-19) (1.18668 -0.00101602 -1.58754e-23)) ((0.00197492 -0.638386 4.25152e-09) (1.29034e-05 0.0150708 -7.79358e-07)))
1465	(((-50.2648 -0.15534 -8.90786e-19) (1.18666 -0.00101582 -1.58754e-23)) ((0.00197281 -0.638362 4.19759e-09) (1.29009e-05 0.0150705 -8.18287e-07)))
1466	(((-50.2626 -0.155268 -8.90828e-19) (1.18663 -0.00101562 -1.58756e-23)) ((0.0019719 -0.638335 4.15183e-09) (1.28983e-05 0.0150702 -8.57385e-07)))
1467	(((-50.2611 -0.155111 -8.90848e-19) (1.18661 -0.00101541 -1.58759e-23)) ((0.0019699 -0.638316 4.10987e-09) (1.28957e-05 0.0150699 -8.96528e-07)))
1468	(((-50.2598 -0.154878 -8.90856e-19) (1.18658 -0.0010152 -1.58761e-23)) ((0.00196696 -0.6383 4.07328e-09) (1.28931e-05 0.0150696 -9.35756e-07)))
1469	(((-50.2583 -0.154497 -8.9088e-19) (1.18656 -0.00101499 -1.58761e-23)) ((0.00196211 -0.63828 4.02747e-09) (1.28904e-05 0.0150693 -9.7524e-07)))
1470	(((-50.2563 -0.154159 -8.90919e-19) (1.18653 -0.00101476 -1.58759e-23)) ((0.00195782 -0.638255 3.9828e-09) (1.28875e-05 0.0150689 -1.01506e-06)))
1471	(((-50.2541 -0.154067 -8.90967e-19) (1.18651 -0.00101453 -1.58758e-23)) ((0.00195666 -0.638227 3.93863e-09) (1.28846e-05 0.0150686 -1.05495e-06)))
1472	(((-50.2526 -0.153957 -8.90986e-19) (1.18648 -0.00101431 -1.58758e-23)) ((0.00195525 -0.638209 3.89906e-09) (1.28818e-05 0.0150683 -1.09465e-06)))
1473	(((-50.2513 -0.15387 -8.91003e-19) (1.18646 -0.0010141 -1.58758e-23)) ((0.00195415 -0.638192 3.85992e-09) (1.28791e-05 0.015068 -1.13425e-06)))
1474	(((-50.2498 -0.153748 -8.91024e-19) (1.18643 -0.00101389 -1.58755e-23)) ((0.00195261 -0.638173 3.8135e-09) (1.28764e-05 0.0150677 -1.17385e-06)))
1475	(((-50.2481 -0.153601 -8.91046e-19) (1.18641 -0.00101369 -1.58752e-23)) ((0.00195074 -0.638151 3.76764e-09) (1.28738e-05 0.0150674 -1.21344e-06)))
1476	(((-50.2464 -0.153399 -8.91076e-19) (1.18638 -0.00101347 -1.58749e-23)) ((0.00194817 -0.638129 3.72624e-09) (1.28711e-05 0.0150671 -1.25322e-06)))
1477	(((-50.2449 -0.153195 -8.91102e-19) (1.18636 -0.00101325 -1.58747e-23)) ((0.00194557 -0.63811 3.6923e-09) (1.28683e-05 0.0150668 -1.29318e-06)))
1478	(((-50.2432 -0.153027 -8.91138e-19) (1.18634 -0.00101303 -1.58744e-23)) ((0.00194344 -0.638089 3.65222e-09) (1.28655e-05 0.0150665 -1.33357e-06)))
1479	(((-50.2417 -0.152725 -8.91166e-19) (1.18631 -0.00101281 -1.58739e-23)) ((0.00193961 -0.638069 3.60146e-09) (1.28627e-05 0.0150662 -1.37381e-06)))
1480	(((-50.2399 -0.152488 -8.91193e-19) (1.18629 -0.00101258 -1.58734e-23)) ((0.0019366 -0.638047 3.54713e-09) (1.28598e-05 0.0150659 -1.41409e-06)))
1481	(((-50.2383 -0.152333 -8.91218e-19) (1.18627 -0.00101235 -1.58729e-23)) ((0.00193463 -0.638026 3.50419e-09) (1.28569e-05 0.0150656 -1.45433e-06)))
1482	(((-50.2368 -0.152226 -8.9124e-19) (1.18624 -0.00101213 -1.58724e-23)) ((0.00193327 -0.638007 3.46988e-09) (1.2854e-05 0.0150653 -1.49472e-06)))
1483	(((-50.2352 -0.152159 -8.91271e-19) (1.18622 -0.0010119 -1.5872e-23)) ((0.00193242 -0.637987 3.43733e-09) (1.28512e-05 0.015065 -1.53539e-06)))
1484	(((-50.2338 -0.152019 -8.91296e-19) (1.1862 -0.00101168 -1.58715e-23)) ((0.00193064 -0.637969 3.39382e-09) (1.28484e-05 0.0150647 -1.57592e-06)))
1485	(((-50.2323 -0.151869 -8.91321e-19) (1.18617 -0.00101146 -1.58709e-23)) ((0.00192874 -0.63795 3.3482e-09) (1.28456e-05 0.0150644 -1.61634e-06)))
1486	(((-50.2309 -0.151653 -8.91346e-19) (1.18615 -0.00101124 -1.58702e-23)) ((0.00192599 -0.637932 3.30013e-09) (1.28427e-05 0.0150641 -1.65696e-06)))
1487	(((-50.2294 -0.151402 -8.9137e-19) (1.18613 -0.00101101 -1.58695e-23)) ((0.00192281 -0.637913 3.25743e-09) (1.28398e-05 0.0150638 -1.69801e-06)))
1488	(((-50.2276 -0.151161 -8.91404e-19) (1.1861 -0.00101077 -1.58687e-23)) ((0.00191974 -0.637891 3.21571e-09) (1.28368e-05 0.0150635 -1.73932e-06)))
1489	(((-50.226 -0.150922 -8.91432e-19) (1.18608 -0.00101053 -1.5868e-23)) ((0.00191671 -0.63787 3.17288e-09) (1.28337e-05 0.0150632 -1.78045e-06)))
1490	(((-50.2243 -0.150877 -8.91458e-19) (1.18606 -0.0010103 -1.58673e-23)) ((0.00191614 -0.637849 3.13491e-09) (1.28307e-05 0.015063 -1.8213e-06)))
1491	(((-50.223 -0.150781 -8.91483e-19) (1.18604 -0.00101007 -1.58665e-23)) ((0.00191492 -0.637832 3.09111e-09) (1.28279e-05 0.0150627 -1.86212e-06)))
1492	(((-50.2217 -0.150644 -8.91505e-19) (1.18601 -0.00100984 -1.58657e-23)) ((0.00191318 -0.637816 3.04283e-09) (1.2825e-05 0.0150624 -1.90339e-06)))
1493	(((-50.2202 -0.15047 -8.91537e-19) (1.18599 -0.00100962 -1.58648e-23)) ((0.00191097 -0.637797 2.99773e-09) (1.28221e-05 0.0150621 -1.94502e-06)))
1494	(((-50.2187 -0.150239 -8.91563e-19) (1.18597 -0.00100938 -1.5864e-23)) ((0.00190803 -0.637777 2.9564e-09) (1.28191e-05 0.0150618 -1.98648e-06)))
1495	(((-50.2171 -0.150107 -8.91589e-19) (1.18595 -0.00100914 -1.58632e-23)) ((0.00190636 -0.637757 2.92211e-09) (1.28161e-05 0.0150615 -2.02771e-06)))
1496	(((-50.2157 -0.149946 -8.91615e-19) (1.18593 -0.00100891 -1.58624e-23)) ((0.00190431 -0.637739 2.88178e-09) (1.28131e-05 0.0150613 -2.06902e-06)))
1497	(((-50.2143 -0.149771 -8.91638e-19) (1.1859 -0.00100867 -1.58615e-23)) ((0.00190209 -0.637722 2.83388e-09) (1.28101e-05 0.015061 -2.11077e-06)))
1498	(((-50.2129 -0.149513 -8.91661e-19) (1.18588 -0.00100844 -1.58604e-23)) ((0.00189881 -0.637704 2.78293e-09) (1.28071e-05 0.0150607 -2.15276e-06)))
1499	(((-50.2112 -0.149325 -8.91695e-19) (1.18586 -0.00100819 -1.58594e-23)) ((0.00189642 -0.637682 2.74301e-09) (1.2804e-05 0.0150604 -2.19476e-06)))
1500	(((-50.2095 -0.149268 -8.91725e-19) (1.18584 -0.00100795 -1.58585e-23)) ((0.0018957 -0.637661 2.71269e-09) (1.28009e-05 0.0150602 -2.23651e-06)))
1501	(((-50.208 -0.149089 -8.91756e-19) (1.18582 -0.00100771 -1.58577e-23)) ((0.00189343 -0.637641 2.68314e-09) (1.27979e-05 0.0150599 -2.27805e-06)))
1502	(((-50.2067 -0.148952 -8.91781e-19) (1.1858 -0.00100748 -1.58569e-23)) ((0.00189168 -0.637625 2.63922e-09) (1.2795e-05 0.0150596 -2.31953e-06)))
1503	(((-50.2056 -0.148837 -8.91802e-19) (1.18578 -0.00100725 -1.5856e-23)) ((0.00189023 -0.637611 2.58353e-09) (1.2792e-05 0.0150594 -2.36143e-06)))
1504	(((-50.2043 -0.148664 -8.91821e-19) (1.18576 -0.00100701 -1.58549e-23)) ((0.00188803 -0.637595 2.52635e-09) (1.2789e-05 0.0150591 -2.40373e-06)))
1505	(((-50.2027 -0.148428 -8.91852e-19) (1.18573 -0.00100676 -1.58539e-23)) ((0.00188504 -0.637574 2.48073e-09) (1.27859e-05 0.0150588 -2.44627e-06)))
1506	(((-50.2011 -0.148167 -8.91881e-19) (1.18571 -0.00100651 -1.58529e-23)) ((0.00188172 -0.637554 2.4479e-09) (1.27827e-05 0.0150586 -2.4886e-06)))
1507	(((-50.1995 -0.148049 -8.91913e-19) (1.18569 -0.00100626 -1.58522e-23)) ((0.00188023 -0.637534 2.41962e-09) (1.27795e-05 0.0150583 -2.53073e-06)))
1508	(((-50.1982 -0.147982 -8.9194e-19) (1.18567 -0.00100602 -1.58514e-23)) ((0.00187937 -0.637517 2.38035e-09) (1.27765e-05 0.015058 -2.57269e-06)))
1509	(((-50.197 -0.147902 -8.91961e-19) (1.18565 -0.00100579 -1.58505e-23)) ((0.00187835 -0.637502 2.3246e-09) (1.27736e-05 0.0150578 -2.61493e-06)))
1510	(((-50.1959 -0.147703 -8.91981e-19) (1.18563 -0.00100556 -1.58495e-23)) ((0.00187583 -0.637487 2.26551e-09) (1.27706e-05 0.0150575 -2.65747e-06)))
1511	(((-50.1943 -0.147487 -8.92011e-19) (1.18561 -0.00100532 -1.58485e-23)) ((0.00187308 -0.637468 2.2177e-09) (1.27676e-05 0.0150573 -2.70017e-06)))
1512	(((-50.1928 -0.147275 -8.9204e-19) (1.18559 -0.00100507 -1.58477e-23)) ((0.00187039 -0.637449 2.185e-09) (1.27644e-05 0.015057 -2.74267e-06)))
1513	(((-50.1913 -0.147222 -8.9207e-19) (1.18557 -0.00100482 -1.5847e-23)) ((0.00186971 -0.63743 2.15971e-09) (1.27613e-05 0.0150567 -2.785e-06)))
1514	(((-50.1901 -0.147103 -8.92097e-19) (1.18555 -0.00100459 -1.58463e-23)) ((0.00186821 -0.637414 2.12117e-09) (1.27583e-05 0.0150565 -2.82725e-06)))
1515	(((-50.189 -0.146936 -8.9212e-19) (1.18553 -0.00100435 -1.58454e-23)) ((0.00186609 -0.6374 2.06579e-09) (1.27553e-05 0.0150562 -2.86989e-06)))
1516	(((-50.1878 -0.146686 -8.92139e-19) (1.18551 -0.00100412 -1.58445e-23)) ((0.00186291 -0.637384 2.00498e-09) (1.27523e-05 0.015056 -2.91283e-06)))
1517	(((-50.1864 -0.146369 -8.9216e-19) (1.18549 -0.00100387 -1.58435e-23)) ((0.00185888 -0.637368 1.9539e-09) (1.27491e-05 0.0150557 -2.95588e-06)))
1518	(((-50.1848 -0.146163 -8.92197e-19) (1.18547 -0.00100361 -1.58427e-23)) ((0.00185627 -0.637347 1.92382e-09) (1.27459e-05 0.0150555 -2.9989e-06)))
1519	(((-50.1834 -0.146098 -8.92227e-19) (1.18545 -0.00100336 -1.58421e-23)) ((0.00185544 -0.637329 1.89713e-09) (1.27427e-05 0.0150552 -3.04156e-06)))
1520	(((-50.1821 -0.146033 -8.92259e-19) (1.18543 -0.00100312 -1.58416e-23)) ((0.00185462 -0.637313 1.85946e-09) (1.27396e-05 0.015055 -3.0841e-06)))
1521	(((-50.181 -0.146011 -8.92283e-19) (1.18541 -0.00100289 -1.58409e-23)) ((0.00185434 -0.637299 1.8076e-09) (1.27367e-05 0.0150547 -3.12652e-06)))
1522	(((-50.18 -0.145906 -8.92302e-19) (1.18539 -0.00100267 -1.58402e-23)) ((0.001853 -0.637286 1.74731e-09) (1.27339e-05 0.0150545 -3.16913e-06)))
1523	(((-50.1788 -0.145664 -8.9232e-19) (1.18537 -0.00100244 -1.58394e-23)) ((0.00184993 -0.637271 1.69616e-09) (1.27309e-05 0.0150542 -3.21215e-06)))
1524	(((-50.1776 -0.145335 -8.92341e-19) (1.18535 -0.00100219 -1.58386e-23)) ((0.00184576 -0.637255 1.65887e-09) (1.27278e-05 0.015054 -3.25543e-06)))
1525	(((-50.1761 -0.144884 -8.92381e-19) (1.18534 -0.00100192 -1.5838e-23)) ((0.00184003 -0.637236 1.63327e-09) (1.27244e-05 0.0150538 -3.2988e-06)))
1526	(((-50.1747 -0.144729 -8.92411e-19) (1.18532 -0.00100166 -1.58375e-23)) ((0.00183806 -0.637219 1.60029e-09) (1.27211e-05 0.0150535 -3.34193e-06)))
1527	(((-50.1735 -0.144745 -8.9244e-19) (1.1853 -0.00100141 -1.5837e-23)) ((0.00183826 -0.637203 1.55113e-09) (1.27179e-05 0.0150533 -3.38487e-06)))
1528	(((-50.1724 -0.144775 -8.92463e-19) (1.18528 -0.00100118 -1.58365e-23)) ((0.00183865 -0.637189 1.49387e-09) (1.2715e-05 0.015053 -3.42759e-06)))
1529	(((-50.1714 -0.144689 -8.92482e-19) (1.18526 -0.00100096 -1.58359e-23)) ((0.00183755 -0.637177 1.43922e-09) (1.27122e-05 0.0150528 -3.4704e-06)))
1530	(((-50.1704 -0.144462 -8.92501e-19) (1.18524 -0.00100073 -1.58352e-23)) ((0.00183467 -0.637164 1.39609e-09) (1.27092e-05 0.0150526 -3.51346e-06)))
1531	(((-50.1693 -0.14415 -8.92522e-19) (1.18522 -0.00100048 -1.58346e-23)) ((0.0018307 -0.63715 1.36341e-09) (1.27061e-05 0.0150523 -3.55676e-06)))
1532	(((-50.1681 -0.143668 -8.92553e-19) (1.1852 -0.00100022 -1.58341e-23)) ((0.00182458 -0.637135 1.33609e-09) (1.27028e-05 0.0150521 -3.60017e-06)))
1533	(((-50.1667 -0.143461 -8.92595e-19) (1.18519 -0.000999961 -1.58336e-23)) ((0.00182195 -0.637117 1.30086e-09) (1.26995e-05 0.0150519 -3.6436e-06)))
1534	(((-50.1655 -0.143455 -8.92619e-19) (1.18517 -0.00099971 -1.58332e-23)) ((0.00182188 -0.637102 1.25448e-09) (1.26963e-05 0.0150516 -3.68669e-06)))
1535	(((-50.1644 -0.143641 -8.92642e-19) (1.18515 -0.000999474 -1.58327e-23)) ((0.00182424 -0.637088 1.19656e-09) (1.26933e-05 0.0150514 -3.7297e-06)))
1536	(((-50.1634 -0.143449 -8.92663e-19) (1.18513 -0.000999248 -1.58322e-23)) ((0.00182181 -0.637075 1.13985e-09) (1.26904e-05 0.0150512 -3.77256e-06)))
1537	(((-50.1625 -0.143126 -8.92683e-19) (1.18511 -0.000999017 -1.58317e-23)) ((0.0018177 -0.637064 1.09722e-09) (1.26875e-05 0.0150509 -3.81554e-06)))
1538	(((-50.1616 -0.142807 -8.92705e-19) (1.1851 -0.000998773 -1.58312e-23)) ((0.00181365 -0.637052 1.0653e-09) (1.26844e-05 0.0150507 -3.85879e-06)))
1539	(((-50.1606 -0.142553 -8.92729e-19) (1.18508 -0.00099852 -1.58307e-23)) ((0.00181042 -0.637039 1.03616e-09) (1.26812e-05 0.0150505 -3.90226e-06)))
1540	(((-50.1595 -0.142289 -8.92763e-19) (1.18506 -0.000998261 -1.58302e-23)) ((0.00180707 -0.637025 1.00134e-09) (1.26779e-05 0.0150503 -3.94587e-06)))
1541	(((-50.1582 -0.142029 -8.92801e-19) (1.18504 -0.000998001 -1.58297e-23)) ((0.00180377 -0.637009 9.5684e-10) (1.26746e-05 0.0150501 -3.98945e-06)))
1542	(((-50.1571 -0.142036 -8.92821e-19) (1.18503 -0.000997751 -1.58293e-23)) ((0.00180385 -0.636995 9.07064e-10) (1.26714e-05 0.0150498 -4.03269e-06)))
1543	(((-50.1561 -0.141954 -8.9284e-19) (1.18501 -0.000997511 -1.58289e-23)) ((0.00180281 -0.636982 8.53218e-10) (1.26684e-05 0.0150496 -4.07585e-06)))
1544	(((-50.1552 -0.141813 -8.92861e-19) (1.18499 -0.000997276 -1.58284e-23)) ((0.00180102 -0.636971 8.05112e-10) (1.26654e-05 0.0150494 -4.11888e-06)))
1545	(((-50.1544 -0.141611 -8.92883e-19) (1.18497 -0.000997041 -1.5828e-23)) ((0.00179846 -0.636961 7.67468e-10) (1.26624e-05 0.0150492 -4.16198e-06)))
1546	(((-50.1536 -0.141216 -8.92909e-19) (1.18496 -0.000996796 -1.58275e-23)) ((0.00179344 -0.636951 7.37494e-10) (1.26593e-05 0.015049 -4.20532e-06)))
1547	(((-50.1527 -0.14092 -8.92936e-19) (1.18494 -0.000996541 -1.58269e-23)) ((0.00178968 -0.636939 7.05676e-10) (1.26561e-05 0.0150487 -4.24892e-06)))
1548	(((-50.1517 -0.14073 -8.92964e-19) (1.18492 -0.000996281 -1.58264e-23)) ((0.00178727 -0.636926 6.66142e-10) (1.26528e-05 0.0150485 -4.29263e-06)))
1549	(((-50.1504 -0.140682 -8.92999e-19) (1.18491 -0.000996023 -1.58258e-23)) ((0.00178666 -0.63691 6.20633e-10) (1.26495e-05 0.0150483 -4.33632e-06)))
1550	(((-50.1495 -0.140656 -8.93016e-19) (1.18489 -0.000995774 -1.58253e-23)) ((0.00178633 -0.636898 5.73004e-10) (1.26463e-05 0.0150481 -4.37966e-06)))
1551	(((-50.1486 -0.140518 -8.93036e-19) (1.18487 -0.000995533 -1.58248e-23)) ((0.00178457 -0.636887 5.23425e-10) (1.26433e-05 0.0150479 -4.42296e-06)))
1552	(((-50.1479 -0.140262 -8.9306e-19) (1.18486 -0.000995296 -1.58243e-23)) ((0.00178133 -0.636878 4.77728e-10) (1.26403e-05 0.0150477 -4.46613e-06)))
1553	(((-50.1472 -0.13998 -8.93084e-19) (1.18484 -0.000995056 -1.58237e-23)) ((0.00177775 -0.636869 4.40738e-10) (1.26372e-05 0.0150475 -4.50934e-06)))
1554	(((-50.1464 -0.139576 -8.9311e-19) (1.18482 -0.000994807 -1.58231e-23)) ((0.00177261 -0.63686 4.1032e-10) (1.26341e-05 0.0150473 -4.55277e-06)))
1555	(((-50.1456 -0.139233 -8.93137e-19) (1.18481 -0.000994547 -1.58225e-23)) ((0.00176827 -0.636849 3.77791e-10) (1.26308e-05 0.0150471 -4.59647e-06)))
1556	(((-50.1446 -0.139216 -8.93163e-19) (1.18479 -0.000994283 -1.58218e-23)) ((0.00176805 -0.636836 3.3708e-10) (1.26274e-05 0.0150469 -4.64029e-06)))
1557	(((-50.1436 -0.13916 -8.93189e-19) (1.18478 -0.000994023 -1.58211e-23)) ((0.00176734 -0.636823 2.93176e-10) (1.26241e-05 0.0150467 -4.68413e-06)))
1558	(((-50.1427 -0.138941 -8.93213e-19) (1.18476 -0.000993768 -1.58204e-23)) ((0.00176455 -0.636812 2.46838e-10) (1.26208e-05 0.0150465 -4.72786e-06)))
1559	(((-50.1419 -0.138753 -8.93224e-19) (1.18474 -0.000993517 -1.58197e-23)) ((0.00176217 -0.636802 2.00282e-10) (1.26177e-05 0.0150463 -4.77144e-06)))
1560	(((-50.1411 -0.138516 -8.93253e-19) (1.18473 -0.000993271 -1.5819e-23)) ((0.00175916 -0.636792 1.57608e-10) (1.26145e-05 0.0150461 -4.81485e-06)))
1561	(((-50.1404 -0.13832 -8.93283e-19) (1.18471 -0.000993027 -1.58183e-23)) ((0.00175666 -0.636783 1.207e-10) (1.26114e-05 0.0150459 -4.85818e-06)))
1562	(((-50.1397 -0.138176 -8.93313e-19) (1.1847 -0.000992782 -1.58176e-23)) ((0.00175483 -0.636775 8.86557e-11) (1.26083e-05 0.0150457 -4.9015e-06)))
1563	(((-50.139 -0.138038 -8.93339e-19) (1.18468 -0.000992536 -1.58169e-23)) ((0.00175308 -0.636765 5.71725e-11) (1.26052e-05 0.0150455 -4.94491e-06)))
1564	(((-50.1383 -0.137895 -8.93362e-19) (1.18467 -0.000992287 -1.58161e-23)) ((0.00175127 -0.636756 2.04495e-11) (1.2602e-05 0.0150453 -4.98844e-06)))
1565	(((-50.1375 -0.137906 -8.9337e-19) (1.18465 -0.000992037 -1.58153e-23)) ((0.0017514 -0.636747 -2.53489e-11) (1.25989e-05 0.0150451 -5.03209e-06)))
1566	(((-50.1367 -0.13758 -8.93399e-19) (1.18464 -0.000991786 -1.58144e-23)) ((0.00174727 -0.636736 -7.30614e-11) (1.25957e-05 0.0150449 -5.07586e-06)))
1567	(((-50.1358 -0.137118 -8.9343e-19) (1.18462 -0.000991528 -1.58134e-23)) ((0.0017414 -0.636725 -1.19065e-10) (1.25924e-05 0.0150447 -5.11972e-06)))
